ID,Metal,BDE,M-H,VMH,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
UDEGEP.Os.xyz,Os,66.96,1.60239,2190.1,7,3,0,1,0,1,0,0,1,0,0,0,0,8
UDEGIT.Os.xyz,Os,67.02,1.600794,2203,7,3,0,1,0,1,0,0,1,0,0,0,0,8
UDELAQ.W.xyz,W,65.49,1.713766,1888.6,10,1,0,1,1,0,0,0,0,0,0,0,0,6
UDELEU.W.xyz,W,65.96,1.709007,1924.5,10,1,0,1,1,0,0,0,0,0,0,0,0,6
UDEPEZ.Re.xyz,Re,47.53,1.676675,2101.9,6,1,0,0,0,1,0,0,1,0,1,0,0,7
UDEPID.Re.xyz,Re,59.24,1.660449,2011,6,1,0,0,1,0,0,0,1,0,1,0,0,7
UDETAA.Mo.xyz,Mo,56.19,1.707235,1796.4,9,1,0,1,0,0,0,0,1,0,0,0,0,6
UDITUX.Ir.xyz,Ir,66.45,1.57533,2201.4,7,1,0,1,1,0,0,0,0,0,0,0,7,9
UDODEW.Cd.xyz,Cd,64.44,1.684134,1707.6,4,1,0,0,1,0,0,0,0,0,0,0,0,12
UDODEW.Zn.xyz,Zn,74.51,1.552729,1790.1,4,1,0,0,1,0,0,0,0,0,0,0,0,12
UDOKII.W.xyz,W,58.16,1.729844,1862.2,10,1,0,1,0,0,0,1,0,0,0,0,0,6
UDOPIN.Ir.xyz,Ir,63.29,1.608737,2049.7,8,1,0,1,0,0,0,0,1,1,0,0,0,9
UDUKEJ.Ru.xyz,Ru,61.87,1.563635,2054.4,5,1,0,0,0,0,0,0,1,0,1,0,0,8
UDUPER.Ru.xyz,Ru,58.19,1.602116,1967.8,6,1,0,1,1,0,0,0,1,0,0,0,15,8
UDUVOE.Rh.xyz,Rh,62.55,1.542846,2113.3,6,2,0,0,1,0,0,0,1,0,0,0,7,9
UFAHOB.Ir.xyz,Ir,66.05,1.660618,1884.2,6,3,0,1,0,0,0,0,1,0,0,0,0,9
UFAHUH.Ir.xyz,Ir,65.99,1.565518,2266.7,6,1,0,1,0,0,0,0,1,0,1,0,17,9
UFAJAP.Ir.xyz,Ir,68.84,1.563545,2276.1,6,1,0,1,0,0,0,0,1,0,1,0,17,9
UFEDIT.Ir.xyz,Ir,71.11,1.576915,2190.5,6,1,0,1,1,0,0,0,1,0,1,0,0,9
UFEDUH.Mo.xyz,Mo,53.78,1.688159,1914.2,7,2,0,0,0,0,0,0,1,0,0,0,0,6
UFIBAN.Ir.xyz,Ir,67.93,1.577951,2179,6,1,0,0,1,1,0,0,0,1,1,0,17,9
UFIKAY.Ru.xyz,Ru,58.73,1.60358,1940.4,6,1,0,0,1,0,0,0,1,0,1,0,7,8
UFINED.Cr.xyz,Cr,44.55,1.592441,1784.5,9,1,0,1,0,0,0,0,0,0,0,0,0,6
UFUBON.Ir.xyz,Ir,61.96,1.607032,2065.1,6,2,0,1,0,0,0,1,1,0,0,-1,50,9
UGAJIV.Ru.xyz,Ru,64.37,1.581619,2004.3,7,1,0,1,0,1,0,0,1,0,0,0,0,8
UGAXUW.Fe.xyz,Fe,58.02,1.508882,1934.5,9,1,0,1,0,0,0,1,0,0,0,0,0,8
UGAYAD.Fe.xyz,Fe,55.89,1.518215,1869.1,9,1,0,1,0,0,0,1,0,0,0,0,0,8
UGEQAZ.Os.xyz,Os,67.57,1.616016,2100.7,7,4,0,0,1,0,0,0,1,0,0,0,0,8
UGEROO.Ru.xyz,Ru,57.71,1.59259,2053,6,1,0,0,0,0,0,1,1,0,0,0,15,8
UGESEF.Ru.xyz,Ru,57.3,1.594295,2040.6,6,1,0,0,0,0,0,1,1,0,0,0,15,8
UGONIQ.Fe.xyz,Fe,54.27,1.535269,1858.8,6,1,0,1,1,0,0,1,1,0,0,0,7,8
UGONOW.Fe.xyz,Fe,55.75,1.535693,1819.9,6,1,0,1,0,0,0,1,1,0,0,0,15,8
UGOTUF.Ir.xyz,Ir,43.97,1.582242,2175.6,6,1,0,0,1,0,0,0,1,0,0,0,7,9
UGOVAN.Ir.xyz,Ir,70.44,1.584113,2140.7,6,1,0,0,1,0,0,0,1,0,0,1,7,9
UGOXIA.Co.xyz,Co,49.42,1.484009,1943,5,1,0,0,0,0,0,0,1,0,0,0,15,9
UGOXOG.Co.xyz,Co,44.16,1.478735,1947.1,4,1,0,0,0,0,0,0,1,0,0,0,15,9
UHEGUK.Pt.xyz,Pt,72.9,1.555751,2247.7,5,2,0,0,1,0,0,1,0,0,0,0,7,10
UHEWAI.Rh.xyz,Rh,54.41,1.546886,2048,5,1,0,0,0,0,0,0,1,0,1,0,0,9
UHILED.Mo.xyz,Mo,54.66,1.714251,1788.7,9,2,0,1,0,0,0,0,1,0,0,0,0,6
UHILIH.Mo.xyz,Mo,55.82,1.709057,1768.7,9,2,0,1,0,0,0,0,1,0,0,0,0,6
UHILON.Mo.xyz,Mo,56.39,1.716321,1773.4,9,2,0,1,0,0,0,0,1,0,0,0,0,6
UHIMAA.Mo.xyz,Mo,53.95,1.712034,1796.7,9,2,0,1,0,0,0,0,1,0,0,0,0,6
