ID,Metal,BDE,CoordNum,H,B,C,N,O,F,Si,P,S,Cl,Charge,LTrans,GrpNum
AXAXIJ.Fe.xyz,Fe,55.33,6,2,0,1,1,0,0,0,1,0,0,0,1,8
AXERAW.Re.xyz,Re,67.97,9,1,0,1,1,0,0,0,1,0,0,1,0,7
AXESUS.Ir.xyz,Ir,65.48,6,1,0,1,0,0,0,0,1,0,0,1,0,9
AXEYIL.Rh.xyz,Rh,54.93,7,2,0,1,0,0,0,0,0,0,1,0,0,9
AXIMUR.Pt.xyz,Pt,66.45,5,1,0,0,0,0,0,1,1,0,0,0,32,10
AXIRIL.Ru.xyz,Ru,64.03,8,1,0,1,0,0,0,0,1,0,0,0,0,8
AXIZAK.Rh.xyz,Rh,64.44,6,1,0,1,1,0,0,0,1,0,1,0,7,9
AXOHOM.Ru.xyz,Ru,65.96,6,1,0,0,1,0,0,0,1,0,0,0,7,8
AXUBIE.Ti.xyz,Ti,50.78,8,1,0,1,1,1,0,0,0,0,0,1,0,4
AXUPOY.Ir.xyz,Ir,61.69,5,1,0,1,1,0,0,0,1,0,0,1,0,9
AXUSIV.Ir.xyz,Ir,64.15,6,1,0,1,0,0,0,0,1,0,0,0,6,9
AXUWOH.W.xyz,W,58.89,7,2,0,1,0,1,0,0,1,0,0,1,0,6
AXUXEY.W.xyz,W,64.85,6,1,0,1,0,0,0,0,1,0,0,0,6,6
AXUXIC.W.xyz,W,64.76,7,3,0,0,0,0,0,0,1,0,0,0,0,6
AXUXOI.W.xyz,W,63.7,8,4,0,0,0,0,0,0,1,0,0,0,0,6
AXUYID.W.xyz,W,57.65,7,2,0,0,1,0,0,0,1,0,0,1,0,6
AYACOU.Re.xyz,Re,67.22,5,1,0,0,1,0,0,0,1,0,0,0,0,7
AYAJUH.Re.xyz,Re,53.34,6,2,0,0,1,0,0,0,1,0,0,0,15,7
AYALOD.Re.xyz,Re,71.86,5,1,0,0,1,0,0,0,1,0,0,0,0,7
AYALUJ.Re.xyz,Re,71.03,5,1,0,0,1,0,0,0,1,0,0,0,0,7
AYANUJ.Ir.xyz,Ir,69.54,9,2,1,1,0,0,0,0,0,0,0,0,0,9
AYAPAR.Ir.xyz,Ir,69.88,9,2,1,1,0,0,0,0,0,0,0,0,0,9
AYAPEV.Ir.xyz,Ir,64.49,10,1,1,1,0,0,0,0,0,0,0,0,0,9
AYEBUD.Fe.xyz,Fe,49.54,5,1,0,1,0,0,0,0,0,0,0,0,6,8
AYEFUH.W.xyz,W,65.56,6,1,0,1,0,0,0,0,1,0,0,0,6,6
AYEFUH01.W.xyz,W,67.1,6,1,0,1,0,0,0,0,1,0,0,0,6,6
AYEFUH02.W.xyz,W,66.18,6,1,0,1,0,0,0,0,1,0,0,0,6,6
AYEGUI.W.xyz,W,60.92,7,2,0,1,0,1,0,0,1,0,0,0,0,6
AYEHAQ.Fe.xyz,Fe,45.46,6,1,0,1,0,0,0,0,1,0,0,0,6,8
AYEHET.Mo.xyz,Mo,27.42,7,1,0,0,1,0,0,0,1,0,0,0,0,6
AYEHIY.Fe.xyz,Fe,44.53,6,1,0,1,0,0,0,0,1,0,0,0,6,8
AYEJUL.W.xyz,W,62.91,7,2,0,1,0,0,0,0,1,0,0,1,0,6
AYIYUC.Nb.xyz,Nb,58.91,13,1,0,1,0,0,0,1,0,0,0,0,0,5
AYIZAJ.Nb.xyz,Nb,57.21,13,1,0,1,0,0,0,1,0,0,0,0,0,5
AYIZEN.Nb.xyz,Nb,56.57,13,1,0,1,0,0,0,1,0,0,0,0,0,5
AYOXER.Os.xyz,Os,68.29,9,2,0,1,0,0,0,0,1,0,0,1,0,8
AYOZAP.Ir.xyz,Ir,56,10,1,1,1,0,0,0,0,0,0,0,0,0,9
AYOZET.Ir.xyz,Ir,57.05,10,1,1,1,0,0,0,0,0,0,0,0,0,9
AZAQEX.Ir.xyz,Ir,73.87,6,1,0,1,1,1,0,0,1,0,0,1,7,9
AZAQIB.Ir.xyz,Ir,73.02,6,1,0,1,1,0,0,0,1,0,0,1,7,9
AZUDAA.Co.xyz,Co,51.53,5,1,0,1,0,0,0,0,1,0,0,0,6,9
BABNEY.Ru.xyz,Ru,61.1,5,1,0,1,0,0,0,0,1,0,1,0,0,8
BABNEY01.Ru.xyz,Ru,59.66,5,1,0,1,0,0,0,0,1,0,1,0,0,8
BABNEY02.Ru.xyz,Ru,61.11,5,1,0,1,0,0,0,0,1,0,1,0,0,8
BABNIC.Ru.xyz,Ru,59.59,5,1,0,1,0,0,0,0,1,0,1,0,0,8
BABWIL.Rh.xyz,Rh,60.69,5,1,0,1,0,0,0,0,1,0,1,0,0,9
BACDUG.Ru.xyz,Ru,66.3,5,1,0,0,1,0,0,0,1,0,0,0,0,8
BACFIW.Ru.xyz,Ru,66.53,6,2,0,0,1,0,0,0,1,0,0,0,1,8
BACFOC.Ru.xyz,Ru,68.43,6,1,0,0,1,1,0,0,1,0,0,0,8,8
BACJUL.Ir.xyz,Ir,56.8,5,1,0,0,0,0,0,0,1,1,0,0,0,9
BACKUN.Ru.xyz,Ru,54.58,6,1,0,1,1,0,0,0,1,0,0,0,15,8
BACLAU.Ru.xyz,Ru,63.24,6,1,0,1,1,0,0,0,1,0,0,1,0,8
BACLEY.Ru.xyz,Ru,65.11,6,1,0,1,1,0,0,0,1,0,0,0,7,8
BACLIC.Ru.xyz,Ru,64.75,6,1,0,1,1,0,0,0,1,0,0,1,0,8
BACZEK.Ir.xyz,Ir,70.55,6,2,0,1,0,0,0,0,1,0,0,0,1,9
BADGUL.Os.xyz,Os,69.68,9,1,0,1,0,0,0,0,1,0,0,1,0,8
BAFTUZ.Ir.xyz,Ir,69.42,5,1,0,1,0,0,0,0,1,0,0,0,6,9
BAGPUU.Os.xyz,Os,73.83,4,2,0,0,0,0,0,0,1,0,0,0,0,8
BAHGOH.Ir.xyz,Ir,64.47,6,1,0,0,1,0,0,0,1,0,1,0,17,9
BAJKEE.Ru.xyz,Ru,61.04,6,1,0,1,0,0,0,0,1,0,0,0,6,8
